CONUM,CONAME,PMK,MARGIN,LOG(PMK),LOG(MAR),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
104,Villivakkam,4193,9321,3.622524862,3.969462508,DMK,Margin,PMK,568,206,வில்லிவாக்கம்,தி.மு.க
105,Thiruvottiyur,4025,4863,3.604765885,3.68690427,DMK,Margin,PMK,573,208,திருவொற்றியூர்,தி.மு.க
106,Thousand Lights,3968,8829,3.598571663,3.945911517,DMK,Margin,PMK,578,210,ஆயிரம் விளக்கு,தி.மு.க
107,Virugampakkam,3945,2333,3.596047008,3.367914739,AIADMK,Margin,PMK,583,212,விருகம்பாக்கம்,அ.இ.அ.தி.மு.க
108,Paramathi-Velur,3740,818,3.572871602,2.912753304,DMK,Margin,PMK,588,214,பரமத்தி-வேலூர்,தி.மு.க
109,Perambur,3685,519,3.566437492,2.715167358,AIADMK,Margin,PMK,593,216,பெரம்பூர்,அ.இ.அ.தி.மு.க
110,Pattukkottai,3607,12358,3.557146142,4.091948191,DMK,Margin,PMK,598,218,பட்டுக்கோட்டை,அ.இ.அ.தி.மு.க
111,Kolathur,3022,37730,3.48029446,4.576686805,DMK,Margin,PMK,603,220,கொளத்தூர்,தி.மு.க
112,Dr.Radhakrishnan Nagar,3011,39545,3.478710756,4.59709158,AIADMK,Margin,PMK,608,222,ராதாகிருஷ்ணன் நகர்,அ.இ.அ.தி.மு.க
113,Erode (West),3000,4906,3.477121255,3.690727544,AIADMK,Margin,PMK,613,224,ஈரோடு (மேற்கு),அ.இ.அ.தி.மு.க
114,Singanallur,2865,5180,3.457124626,3.71432976,DMK,Margin,PMK,618,226,சிங்கநல்லூர்,தி.மு.க
115,Modakkurichi,2809,2222,3.448551739,3.346744055,AIADMK,Margin,PMK,623,228,மொடக்குறிச்சி,அ.இ.அ.தி.மு.க
116,Kumarapalayam,2773,47329,3.44294987,4.675127328,AIADMK,Margin,PMK,628,230,குமாரப்பாளையம்,அ.இ.அ.தி.மு.க
117,Namakkal,2751,13534,3.43949059,4.131426172,AIADMK,Margin,PMK,633,232,நாமக்கல்,அ.இ.அ.தி.மு.க
118,Dindigul,2718,20719,3.434249452,4.31636879,AIADMK,Margin,PMK,638,234,திண்டுக்கல்,அ.இ.அ.தி.மு.க
119,Kilvelur,2637,10170,3.42111013,4.007320953,AIADMK,Margin,PMK,643,236,கீழ்வேளூர்,தி.மு.க
120,Kavundampalayam,2533,8025,3.40363519,3.904445041,AIADMK,Margin,PMK,648,238,கவுண்டம்பாளையம்,அ.இ.அ.தி.மு.க
121,Chepauk-Thiruvallikeni,2511,14164,3.399846713,4.151185918,DMK,Margin,PMK,653,240,சேப்பாக்கம்,தி.மு.க
122,Senthamangalam,2447,12333,3.388633969,4.091068732,AIADMK,Margin,PMK,658,242,சேந்தமங்கலம்,அ.இ.அ.தி.மு.க
123,Madathukulam,2443,1667,3.387923467,3.2219356,DMK,Margin,PMK,663,244,மடத்துக்குளம்,தி.மு.க
124,Palladam,2292,32174,3.360214613,4.507505057,AIADMK,Margin,PMK,668,246,பல்லடம்,அ.இ.அ.தி.மு.க
125,Nilakkottai,2201,14776,3.342620043,4.169556882,AIADMK,Margin,PMK,673,248,நிலக்கோட்டை,அ.இ.அ.தி.மு.க
126,Coimbatore (North),2196,7724,3.341632336,3.887842265,AIADMK,Margin,PMK,678,250,கோயம்பத்தூர் (வடக்கு),அ.இ.அ.தி.மு.க
127,Royapuram,2126,8031,3.32756326,3.904769626,AIADMK,Margin,PMK,683,252,ராயப்புரம்,அ.இ.அ.தி.மு.க
128,Erode (East),2111,7794,3.324488233,3.891760401,AIADMK,Margin,PMK,688,254,ஈரோடு (கிழக்கு),அ.இ.அ.தி.மு.க
129,Vedaranyam,2081,22998,3.31827208,4.36169007,AIADMK,Margin,PMK,693,256,வேதாரண்யம்,அ.இ.அ.தி.மு.க
130,Thiru-Vi-Ka-Nagar,2056,3322,3.31302311,3.521399628,DMK,Margin,PMK,698,258,திரு.வி.க நகர்,தி.மு.க
131,Madurai North,2039,18839,3.309417226,4.275057846,AIADMK,Margin,PMK,703,260,மதுரை (வடக்கு),அ.இ.அ.தி.மு.க
132,Tiruchengodu,2012,3390,3.303627976,3.530199698,AIADMK,Margin,PMK,708,262,திருச்செங்கோடு,அ.இ.அ.தி.மு.க
133,Thiruthuraipoondi,2005,13250,3.302114377,4.122215878,AIADMK,Margin,PMK,713,264,திருத்துறைப்பூண்டி,தி.மு.க
134,Mannargudi,1983,9937,3.297322714,3.99725529,DMK,Margin,PMK,718,266,மண்ணார்குடி,தி.மு.க
135,Udumalaipettai,1975,5687,3.2955671,3.754883228,AIADMK,Margin,PMK,723,268,உடுமலைப்பேட்டை,அ.இ.அ.தி.மு.க
136,Tirunelveli,1884,601,3.275080898,2.778874472,AIADMK,Margin,PMK,728,270,திருநெல்வேலி,தி.மு.க
137,Mettuppalayam,1870,16114,3.271841607,4.207203359,AIADMK,Margin,PMK,733,272,மேட்டுப்பாளையம்,அ.இ.அ.தி.மு.க
138,Tiruchirappalli (East),1866,21894,3.270911639,4.340325114,AIADMK,Margin,PMK,738,274,திருச்சிராப்பள்ளி (கிழக்கு),அ.இ.அ.தி.மு.க
