CONUM,CONAME,MARGIN,NOTA,LOG(MAR),LOG(NOTA),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
157,Gudalur,13379,1825,4.13,3.26,DMK,Margin,Nota,833,312,கூடலூர்,தி.மு.க
158,Radhapuram,49,1821,1.69,3.26,AIADMK,Margin,Nota,838,314,ராதாபுரம்,அ.இ.அ.தி.மு.க
159,Nilakkottai,14776,1819,4.17,3.26,AIADMK,Margin,Nota,843,316,நிலக்கோட்டை,அ.இ.அ.தி.மு.க
160,Tiruchendur,26001,1814,4.41,3.26,DMK,Margin,Nota,848,318,திருச்செந்தூர்,தி.மு.க
161,Tiruvannamalai,50348,1803,4.7,3.26,DMK,Margin,Nota,853,320,திருவண்ணாமலை,தி.மு.க
162,Nagercoil,20956,1802,4.32,3.26,DMK,Margin,Nota,858,322,நாகர்கோவில்,தி.மு.க
163,Vaniyambadi,14526,1774,4.16,3.25,AIADMK,Margin,Nota,863,324,வாணியம்பாடி,அ.இ.அ.தி.மு.க
164,Mannargudi,9937,1774,4,3.25,DMK,Margin,Nota,868,326,மண்ணார்குடி,தி.மு.க
165,Thiruthuraipoondi,13250,1768,4.12,3.25,DMK,Margin,Nota,873,328,திருத்துறைப்பூண்டி,தி.மு.க
166,Gangavalli,2262,1766,3.35,3.25,AIADMK,Margin,Nota,878,330,கங்கவள்ளி,அ.இ.அ.தி.மு.க
167,Arani,7327,1749,3.86,3.24,AIADMK,Margin,Nota,883,332,ஆரணி,அ.இ.அ.தி.மு.க
168,Omalur,19956,1739,4.3,3.24,AIADMK,Margin,Nota,888,334,ஓமலூர்,அ.இ.அ.தி.மு.க
169,Mailam,12306,1722,4.09,3.24,DMK,Margin,Nota,893,336,மைலம்,தி.மு.க
170,Uthangarai,2613,1717,3.42,3.23,AIADMK,Margin,Nota,898,338,ஊத்தங்கரை,அ.இ.அ.தி.மு.க
171,Chidambaram,1506,1714,3.18,3.23,AIADMK,Margin,Nota,903,340,சிதம்பரம்,அ.இ.அ.தி.மு.க
172,Neyveli,17791,1710,4.25,3.23,DMK,Margin,Nota,908,342,நெய்வேலி,தி.மு.க
173,Villupuram,22291,1701,4.35,3.23,AIADMK,Margin,Nota,913,344,விழுப்புரம்,அ.இ.அ.தி.மு.க
174,Sholingur,9732,1691,3.99,3.23,AIADMK,Margin,Nota,918,346,சோளிங்கர்,அ.இ.அ.தி.மு.க
175,Mayiladuthurai,4778,1688,3.68,3.23,AIADMK,Margin,Nota,923,348,மயிலாடுதுறை,அ.இ.அ.தி.மு.க
176,Usilampatti,32906,1672,4.52,3.22,AIADMK,Margin,Nota,928,350,உசிலம்பட்டி,அ.இ.அ.தி.மு.க
177,Paramathi-Velur,818,1658,2.91,3.22,DMK,Margin,Nota,933,352,பரமத்தி-வேலூர்,தி.மு.க
178,Uthiramerur,12156,1647,4.08,3.22,DMK,Margin,Nota,938,354,உத்திரமேரூர்,தி.மு.க
179,Pudukkottai,2084,1637,3.32,3.21,DMK,Margin,Nota,943,356,புதுக்கோட்டை,தி.மு.க
180,Ambur,28006,1632,4.45,3.21,AIADMK,Margin,Nota,948,358,ஆம்பூர்,அ.இ.அ.தி.மு.க
181,Paramakudi,11389,1598,4.06,3.2,AIADMK,Margin,Nota,953,360,பரமக்குடி,அ.இ.அ.தி.மு.க
182,Colachel,26028,1593,4.42,3.2,INC,Margin,Nota,958,362,குளச்சல்,இ.தே.க
183,Vilathikulam,18718,1581,4.27,3.2,AIADMK,Margin,Nota,963,364,விளாத்திகுளம்,அ.இ.அ.தி.மு.க
184,Thirumangalam,23590,1572,4.37,3.2,AIADMK,Margin,Nota,968,366,திருமங்கலம்,அ.இ.அ.தி.மு.க
185,Kanniyakumari,5912,1570,3.77,3.2,DMK,Margin,Nota,973,368,கன்னியாக்குமரி,தி.மு.க
186,Gandharvakottai,3047,1556,3.48,3.19,AIADMK,Margin,Nota,978,370,கந்தர்வகோட்டை,அ.இ.அ.தி.மு.க
187,Anthiyur,5312,1546,3.73,3.19,AIADMK,Margin,Nota,983,372,அந்தியூர்,அ.இ.அ.தி.மு.க
188,Kurinjipadi,28108,1541,4.45,3.19,DMK,Margin,Nota,988,374,குறிஞ்சிபாடி,தி.மு.க
189,Pattukkottai,12358,1541,4.09,3.19,AIADMK,Margin,Nota,993,376,பட்டுக்கோட்டை,அ.இ.அ.தி.மு.க
190,Sivaganga,6636,1530,3.82,3.18,AIADMK,Margin,Nota,998,378,சிவகங்கை,அ.இ.அ.தி.மு.க
191,Ramanathapuram,33222,1528,4.52,3.18,AIADMK,Margin,Nota,1003,380,ராமநாதபுரம்,அ.இ.அ.தி.மு.க
192,Madurantakam,2957,1525,3.47,3.18,DMK,Margin,Nota,1008,382,மதுராந்தகம்,தி.மு.க
193,Kalasapakkam,26414,1510,4.42,3.18,AIADMK,Margin,Nota,1013,384,கலசப்பாக்கம்,அ.இ.அ.தி.மு.க
194,Gummidipoondi,23395,1484,4.37,3.17,AIADMK,Margin,Nota,1018,386,கும்மிடிப்பூண்டி,அ.இ.அ.தி.மு.க
195,Jolarpet,10991,1483,4.04,3.17,AIADMK,Margin,Nota,1023,388,ஜோலார்பேட்டை,அ.இ.அ.தி.மு.க
