CONUM,CONAME,MARGIN,3F,LOG(MAR),LOG(3F),WINPARTY,TYPE1,TYPE2,RECTPOS,INDEX,CONAME_TAMIL,WINPARTY_TAMIL
33,Thoothukkudi,20908,17798,4.320312491,4.250371202,DMK,Margin,ThirdFront,213,64,தூத்துக்குடி,தி.மு.க
34,Madurai North,18839,17732,4.275057846,4.248757723,AIADMK,Margin,ThirdFront,218,66,மதுரை (வடக்கு),அ.இ.அ.தி.மு.க
35,Kallakurichi,4104,17492,3.613207352,4.242839469,AIADMK,Margin,ThirdFront,223,68,கள்ளக்குறிச்சி,அ.இ.அ.தி.மு.க
36,Chengalpattu,26292,17438,4.419823624,4.241496673,DMK,Margin,ThirdFront,228,70,செங்கல்பட்டு,தி.மு.க
37,Sivakasi,14748,17379,4.168733129,4.240024783,AIADMK,Margin,ThirdFront,233,72,சிவகாசி,அ.இ.அ.தி.மு.க
38,Kavundampalayam,8025,16874,3.904445041,4.227218045,AIADMK,Margin,ThirdFront,238,74,கவுண்டம்பாளையம்,அ.இ.அ.தி.மு.க
39,Ambattur,17498,16631,4.242988412,4.220918364,AIADMK,Margin,ThirdFront,243,76,அம்பத்தூர்,அ.இ.அ.தி.மு.க
40,Kilvelur,10170,16499,4.007320953,4.217457623,DMK,Margin,ThirdFront,248,78,கீழ்வேளூர்,தி.மு.க
41,Ramanathapuram,33222,16353,4.521425774,4.213597437,AIADMK,Margin,ThirdFront,253,80,ராமநாதபுரம்,அ.இ.அ.தி.மு.க
42,Kadayanallur,1194,15858,3.077004327,4.200248414,IUML,Margin,ThirdFront,258,82,கடையநல்லூர்,இ.ஒ.மு.லீ
43,Tiruttani,23141,15648,4.364382122,4.194458837,AIADMK,Margin,ThirdFront,263,84,திருத்தனி,அ.இ.அ.தி.மு.க
44,Thiruparankundram,22992,15275,4.361576751,4.183981219,AIADMK,Margin,ThirdFront,268,86,திருப்பரங்குன்றம்,அ.இ.அ.தி.மு.க
45,Shozhinganallur,14913,15129,4.173565018,4.179810223,DMK,Margin,ThirdFront,273,88,சோழிங்கநல்லூர்,தி.மு.க
46,Sivaganga,6636,15114,3.821906377,4.179379418,AIADMK,Margin,ThirdFront,278,90,சிவகங்கை,அ.இ.அ.தி.மு.க
47,Poonamallee,11763,15051,4.070518097,4.177565356,AIADMK,Margin,ThirdFront,283,92,பூந்தமல்லி,அ.இ.அ.தி.மு.க
48,Tirukkoyilur,41057,15045,4.613387213,4.177392192,DMK,Margin,ThirdFront,288,94,திருக்கோயிலூர்,தி.மு.க
49,Vilathikulam,18718,15030,4.272259443,4.176958981,AIADMK,Margin,ThirdFront,293,96,விளாத்திகுளம்,அ.இ.அ.தி.மு.க
50,Avanashi (SC),30674,15016,4.486770413,4.17655426,AIADMK,Margin,ThirdFront,298,98,அவினாசி (தனித்தொகுதி),அ.இ.அ.தி.மு.க
51,Tindivanam,101,14928,2.004321374,4.174001626,DMK,Margin,ThirdFront,303,100,திண்டிவனம்,தி.மு.க
52,Palladam,32174,14841,4.507505057,4.171463165,AIADMK,Margin,ThirdFront,308,102,பல்லடம்,அ.இ.அ.தி.மு.க
53,Poompuhar,19935,14806,4.29961624,4.170437745,AIADMK,Margin,ThirdFront,313,104,பூம்புகார்,அ.இ.அ.தி.மு.க
54,Tittagudi (SC),2212,14657,3.344785123,4.166045088,DMK,Margin,ThirdFront,318,106,திட்டக்குடி (தனித்தொகுதி),தி.மு.க
55,Tambaram,14445,14559,4.159717546,4.163131546,DMK,Margin,ThirdFront,323,108,தாம்பரம்,தி.மு.க
